Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
49,2D,17,IPR Chopina,0.228,0.697,1.469,2.501,3.75,6.019,8.434,11.199,42.672,174.23699999999997,NA,NA,NA,NA
53,2D,17,IPR Chopina,0.55,0.832,1.337,2.242,3.756,5.028,6.545,9.279,45.984,154.52700000000002,NA,NA,NA,NA
63,2D,17,IPR Chopina,0.476,0.86,1.324,2.501,3.092,4.76,5.683,7.327,44.52600000000001,138.441,NA,NA,NA,NA
68,2D,17,IPR Chopina,0.341,0.733,1.079,2.353,3.566,6.543,8.695,13.3,40.803000000000004,182.82900000000004,NA,NA,NA,NA
5,2B,18,IAC Imperador,2.229,5.032,7.918,11.308,17.442,NA,NA,NA,231.30899999999997,NA,NA,NA,NA,NA
7,2B,18,IAC Imperador,1.116,2.62,3.901,6.376,9.383,NA,NA,NA,122.271,NA,NA,NA,NA,NA
14,2B,18,IAC Imperador,0.795,1.459,3.164,4.576,9.286,NA,NA,NA,94.977,NA,NA,NA,NA,NA
21,2B,18,IAC Imperador,1.445,3.013,5.347,6.616,11.484,NA,NA,NA,145.983,NA,NA,NA,NA,NA
28,2B,18,IAC Imperador,1.409,3.103,4.599,7.675,11.945,NA,NA,NA,149.23200000000003,NA,NA,NA,NA,NA
30,2B,18,IAC Imperador,1.275,2.847,6.074,11.018,15.247,NA,NA,NA,184.5,NA,NA,NA,NA,NA
36,2D,18,IAC Imperador,0.348,0.763,1.407,2.221,3.639,4.681,5.374,8.331,42.483,138.72299999999998,NA,NA,NA,NA
45,2D,18,IAC Imperador,0.335,0.95,1.599,2.385,3.63,5.278,6.589,9.402,45.519,155.81699999999998,NA,NA,NA,NA
51,2D,18,IAC Imperador,0.324,0.872,1.619,2.049,2.478,3.299,4.641,4.858,39.534,109.182,NA,NA,NA,NA
58,2D,18,IAC Imperador,0.352,0.71,1.113,1.589,2.357,3.191,5.105,8.119,32.82300000000001,114.02699999999999,NA,NA,NA,NA
62,2D,18,IAC Imperador,0.382,0.701,1.098,1.795,2.574,3.299,3.938,5.205,35.016,101.775,NA,NA,NA,NA
68,2D,18,IAC Imperador,0.628,1.117,1.855,2.627,3.294,4.62,6.943,8.296,52.896,157.044,NA,NA,NA,NA
5,2B,19,IAC Formoso,1.001,2.635,4.692,8.432,15.499,NA,NA,NA,156.066,NA,NA,NA,NA,NA
6,2B,19,IAC Formoso,1.343,3.591,5.745,10.066,14.869,NA,NA,NA,181.164,NA,NA,NA,NA,NA
14,2B,19,IAC Formoso,1.558,3.508,6.466,10.243,17.661,NA,NA,NA,197.655,NA,NA,NA,NA,NA
22,2B,19,IAC Formoso,1.736,5.348,7.6,12.76,19.876,NA,NA,NA,239.916,NA,NA,NA,NA,NA
29,2B,19,IAC Formoso,1.216,2.425,4.009,6.954,10.27,NA,NA,NA,129.378,NA,NA,NA,NA,NA
33,2B,19,IAC Formoso,1.193,2.877,5.671,8.524,11.721,NA,NA,NA,155.49,NA,NA,NA,NA,NA
36,2D,19,IAC Formoso,0.071,0.41,0.766,1.198,2.026,2.685,4.226,5.753,21.387,86.19,NA,NA,NA,NA
44,2D,19,IAC Formoso,0.002,0.469,0.801,1.596,2.67,4.368,6.654,9.087,25.236,126.63900000000001,NA,NA,NA,NA
49,2D,19,IAC Formoso,0.421,0.718,0.988,1.641,1.999,2.646,3.125,3.9,32.394000000000005,84.71700000000001,NA,NA,NA,NA
55,2D,19,IAC Formoso,0.447,0.92,1.166,1.61,1.99,2.664,2.942,3.751,34.851,85.71,NA,NA,NA,NA
60,2D,19,IAC Formoso,0.193,0.858,1.261,2.156,3.114,5.575,7.57,10.968,37.887,159.00300000000001,NA,NA,NA,NA
68,2D,19,IAC Formoso,0.841,1.695,2.311,3.815,6.719,8.612,11.218,13.626,79.69800000000001,259.713,NA,NA,NA,NA
5,2B,20,IAC Una,2.025,5.673,9.124,13.47,18.924,NA,NA,NA,256.749,NA,NA,NA,NA,NA
9,2B,20,IAC Una,1.638,4.73,5.955,10.407,15.594,NA,NA,NA,197.904,NA,NA,NA,NA,NA
13,2B,20,IAC Una,2.39,4.091,7.21,15.903,15.013,NA,NA,NA,244.113,NA,NA,NA,NA,NA
20,2B,20,IAC Una,1.268,3.255,6.363,9.072,16.693,NA,NA,NA,181.239,NA,NA,NA,NA,NA
25,2B,20,IAC Una,2.503,4.786,10.019,15.346,20.729,NA,NA,NA,280.638,NA,NA,NA,NA,NA
31,2B,20,IAC Una,2.19,5.429,7.296,13.811,18.269,NA,NA,NA,246.873,NA,NA,NA,NA,NA
40,2D,20,IAC Una,0.412,0.82,1.048,1.867,2.626,3.194,4.734,6.81,36.468,112.34400000000001,NA,NA,NA,NA
46,2D,20,IAC Una,0.078,0.652,0.96,1.416,1.938,2.658,3.16,3.639,25.152000000000005,76.791,NA,NA,NA,NA
48,2D,20,IAC Una,0.546,1.013,1.239,1.888,2.437,2.669,3.476,4.33,40.341,97.51199999999999,NA,NA,NA,NA
55,2D,20,IAC Una,0.296,0.566,0.755,1.467,1.529,2.4,3.115,3.585,25.755,74.18699999999998,NA,NA,NA,NA
59,2D,20,IAC Una,0.396,0.805,1.248,1.707,2.199,3.373,3.676,4.412,35.097,97.22399999999999,NA,NA,NA,NA
69,2D,20,IAC Una,0.552,1.087,1.74,3.187,5.172,8.937,16.113,17.28,59.88,277.536,NA,NA,NA,NA
6,2B,21,IAC Alvorada,0.97,2.003,3.744,4.652,6.815,NA,NA,NA,97.38900000000001,NA,NA,NA,NA,NA
10,2B,21,IAC Alvorada,1.953,6.242,10.135,15.697,17.08,NA,NA,NA,272.979,NA,NA,NA,NA,NA
14,2B,21,IAC Alvorada,1.706,4.791,8.74,14.366,19.346,NA,NA,NA,251.01000000000002,NA,NA,NA,NA,NA
19,2B,21,IAC Alvorada,1.745,3.886,6.59,12.226,21.058,NA,NA,NA,225.561,NA,NA,NA,NA,NA
26,2B,21,IAC Alvorada,1.726,3.875,6.986,11.424,18.206,NA,NA,NA,214.218,NA,NA,NA,NA,NA
30,2B,21,IAC Alvorada,0.219,0.999,2.122,3.72,5.599,NA,NA,NA,61.128,NA,NA,NA,NA,NA
38,2D,21,IAC Alvorada,0.002,0.346,0.624,1.148,1.926,3.775,4.173,6.183,18.516000000000002,90.53099999999999,NA,NA,NA,NA
46,2D,21,IAC Alvorada,0.553,0.899,1.58,2.685,4.476,8.484,10.559,14.934,52.707,225.19500000000002,NA,NA,NA,NA
47,2D,21,IAC Alvorada,0.601,1.068,1.504,2.538,2.816,3.728,4.309,5.364,48.12299999999999,120.885,NA,NA,NA,NA
52,2D,21,IAC Alvorada,0.302,0.586,0.838,1.536,2.144,3.612,4.402,6.887,28.721999999999998,103.899,NA,NA,NA,NA
58,2D,21,IAC Alvorada,0.606,1.369,2.016,4.467,5.943,9.629,10.357,17.152,74.031,263.23199999999997,NA,NA,NA,NA
69,2D,21,IAC Alvorada,0.491,1.007,1.542,2.443,2.871,4.805,5.248,6.696,45.93000000000001,134.949,NA,NA,NA,NA
6,2B,22,IAC Diplomata,1.673,3.872,7.481,11.438,18.268,NA,NA,NA,216.64499999999998,NA,NA,NA,NA,NA
8,2B,22,IAC Diplomata,1.853,3.742,6.555,10.266,14.56,NA,NA,NA,194.85299999999998,NA,NA,NA,NA,NA
15,2B,22,IAC Diplomata,1.32,3.263,5.093,8.833,14.861,NA,NA,NA,167.517,NA,NA,NA,NA,NA
23,2B,22,IAC Diplomata,1.621,3.805,5.447,8.215,16.831,NA,NA,NA,179.60999999999999,NA,NA,NA,NA,NA
25,2B,22,IAC Diplomata,1.023,2.269,4.725,7.973,13.545,NA,NA,NA,145.782,NA,NA,NA,NA,NA
31,2B,22,IAC Diplomata,1.217,2.75,5.09,7.895,13.9,NA,NA,NA,154.365,NA,NA,NA,NA,NA
37,2D,22,IAC Diplomata,0.684,1.078,1.87,3.481,6.253,8.306,12.03,15.779,67.593,255.70499999999998,NA,NA,NA,NA
43,2D,22,IAC Diplomata,0.348,1.04,1.715,2.883,4.365,7.655,9.294,13.792,52.143,208.308,NA,NA,NA,NA
50,2D,22,IAC Diplomata,0.128,0.569,0.956,1.781,2.307,4.35,5.215,5.916,28.677000000000003,110.73599999999999,NA,NA,NA,NA
57,2D,22,IAC Diplomata,0.316,0.793,1.279,2.024,3.293,5.582,8.015,12.951,39.195,169.50900000000001,NA,NA,NA,NA
58,2D,22,IAC Diplomata,0.498,1.072,1.684,2.315,3.558,5.545,6.974,8.655,48.57,160.32300000000004,NA,NA,NA,NA
69,2D,22,IAC Diplomata,0.286,0.741,1.212,2.069,2.811,5.073,6.508,10.489,36.855000000000004,146.24099999999999,NA,NA,NA,NA
6,2B,23,IAC Kaburé,1.08,2.848,6.325,9.818,14.206,NA,NA,NA,172.764,NA,NA,NA,NA,NA
10,2B,23,IAC Kaburé,1.191,2.736,4.714,7.7,12.598,NA,NA,NA,146.55900000000003,NA,NA,NA,NA,NA
13,2B,23,IAC Kaburé,1.772,4.353,8.446,15.219,24.312,NA,NA,NA,267.62399999999997,NA,NA,NA,NA,NA
22,2B,23,IAC Kaburé,1.263,3.044,4.498,7.672,13.73,NA,NA,NA,151.419,NA,NA,NA,NA,NA
24,2B,23,IAC Kaburé,0.307,1.066,1.974,3.531,7.146,NA,NA,NA,65.469,NA,NA,NA,NA,NA
34,2B,23,IAC Kaburé,1.5,1.977,2.944,5.738,8.531,NA,NA,NA,112.04700000000001,NA,NA,NA,NA,NA
37,2D,23,IAC Kaburé,0.189,1.012,1.016,1.991,2.74,4.197,5.049,7.655,35.169,121.83,NA,NA,NA,NA
46,2D,23,IAC Kaburé,0.484,0.836,1.102,1.744,2.465,3.925,5.726,7.293,36.747,123.92699999999999,NA,NA,NA,NA
52,2D,23,IAC Kaburé,0.69,1.363,1.923,3.335,4.441,6.496,8.406,10.208,63.39900000000001,196.758,NA,NA,NA,NA
55,2D,23,IAC Kaburé,0.344,0.675,1.029,1.434,1.792,2.182,2.616,3.178,29.364000000000004,73.06200000000001,NA,NA,NA,NA
59,2D,23,IAC Kaburé,0.334,0.657,1.036,1.708,2.349,3.202,3.931,4.726,32.463,96.48599999999999,NA,NA,NA,NA
69,2D,23,IAC Kaburé,0.54,0.938,1.07,1.642,1.803,2.485,2.666,3.807,35.409,83.14500000000001,NA,NA,NA,NA
