Isolate_number,Isolate,Block,3 dai,6 dai,8 dai (cm),AUDPC,After first node,Score
16,293A,7,2.5,2.5,2.5,16.25,0,4
17,266,7,3.5,4.5,4.5,26.25,1.5,5
18,975E,7,5,7.5,8.5,42.25,3.5,6
19,975C,7,4,5,6,30.5,2.5,5
20,1013,7,3.5,6.5,8.5,35.25,6,6
21,265,7,2.5,2.5,2.5,16.25,0,4
22,1021,7,3,5,6,27.5,3.5,6
23,976C,7,4.5,6,6,34.5,1,5
24,399B,7,5.5,6.5,6.5,39.25,1.5,5
25,1015,7,2,4,4.5,20.5,0,4
26,1016,7,3,3.25,4,21.125,1,5
27,1010,7,3,5.5,5.5,28.25,0,4
28,976B,7,4.5,6.5,7,36.75,3,6
29,973D,7,4,4.5,4.5,27.75,0.5,5
30,973B,7,5,7,8.5,41,4,6
31,974B,7,2.5,5,6,26,1,5
32,974D,7,1,3.5,3.5,15.25,0,4
1,143,8,6,7.25,7.5,43.625,0.5,5
2,541B,8,2.5,4,4.5,22,0,4
3,268,8,3,5.5,6,28.75,0.5,5
4,202,8,2,2,3.5,14.5,0,3
5,974A,8,4,6,7,34,3,6
6,834B,8,5,6.5,8.5,39.75,4,6
7,975D,8,4.5,6.5,8.5,38.25,4,6
8,267,8,3,5,6,27.5,3,6
9,978B,8,2,3.5,4,18.75,0.5,5
10,977B,8,4,5.5,6.25,32,2.25,5
11,293E,8,3,4.5,4.5,24.75,2,5
12,973C,8,4.5,6.5,7.5,37.25,5,7
13,1020,8,0.5,2,3.5,10,0,3
14,289,8,3.5,5.5,7,31.25,4,6
15,834A,8,3,5,5,26.5,2,5
16,293A,8,3,4,4,23,1.5,5
17,266,8,4,5.5,6,31.75,0,3
18,975E,8,3,5,5.5,27,3,6
19,975C,8,2,2.5,4.5,16.75,2,5
20,1013,8,3.5,5.5,6.5,30.75,3,6
21,265,8,3,3.5,3.5,21.25,1,5
22,1021,8,3,3.25,3.5,20.625,0.5,5
23,976C,8,4.5,4.75,5,30.375,0.5,5
24,399B,8,3.5,4.5,5,26.75,1.5,5
25,1015,8,4.5,5,5.5,31.5,1.5,5
26,1016,8,4,6,7.5,34.5,3.5,6
27,1010,8,4,5,6,30.5,2.5,5
28,976B,8,6,6.25,7,40.625,1,5
29,973D,8,4,6,7.5,34.5,4,6
30,973B,8,5,6.5,7,38.25,2,5
31,974B,8,5,5.5,6,34.75,1,5
32,974D,8,4.5,4.75,6,31.375,1.5,5
1,143,9,7,9,10.5,54,5.5,6
2,541B,9,2,3.5,5,19.75,0,3
3,268,9,3.5,5,6,29,0,3
4,202,9,3.5,5.5,6,30.25,1,5
5,974A,9,5,5,5.5,33,1,5
6,834B,9,4.5,7,8.5,39.5,4.5,6
7,975D,9,4.5,4.5,4.5,29.25,0,4
8,267,9,3,5.5,6.5,29.25,4,6
9,978B,9,1.5,2.5,2.5,13.25,0,4
10,977B,9,4.5,6,7.5,36,3,6
11,293E,9,3,4,6,25,3.5,6
12,973C,9,3,5,8,29.5,5.5,6
13,1020,9,3,4.5,4.5,24.75,0,4
14,289,9,3,3.25,3.5,20.625,0.5,5
15,834A,9,2.5,3,3,18,0.5,5
16,293A,9,5,5.5,6,34.75,3.5,6
17,266,9,6,6.5,7.5,41.75,1.5,5
18,975E,9,3,3.5,3.5,21.25,0.5,5
19,975C,9,2.5,5,6.5,26.5,4,6
20,1013,9,3,4,5.5,24.5,3,6
21,265,9,3.5,2.75,3,20.375,0.5,5
22,1021,9,3,3.5,4,21.75,1.5,5
23,976C,9,5,5.25,5.5,33.625,0.5,5
24,399B,9,4.5,6,7,35.5,3,6
25,1015,9,4.5,5,5.5,31.5,1,5
26,1016,9,5,7,8.5,41,5,6
27,1010,9,4,6,6.5,33.5,0.5,5
28,976B,9,4.5,4.5,4.5,29.25,0,4
29,973D,9,4.5,6,7,35.5,3.5,6
30,973B,9,4.5,5.5,7,34.25,3.5,6
31,974B,9,2,4.5,5,22.25,1,5
32,974D,9,3,5,6,27.5,3,6
1,143,10,3.5,3.75,4,23.875,0.5,5
2,541B,10,6,6,6,39,0,4
3,268,10,2,4,6,22,0.5,5
4,202,10,2.5,3,3,18,0,4
5,974A,10,4,5.5,6,31.75,1,5
6,834B,10,2.5,5,5.5,25.5,0.5,5
7,975D,10,5,6,6.5,36.5,1.5,5
8,267,10,3,3.5,3.5,21.25,1,5
9,978B,10,3,3.5,3.5,21.25,0.5,5
10,977B,10,6.5,8,8,47.5,1.5,5
11,293E,10,2.5,2.75,3,17.375,0.5,5
12,973C,10,4,7,7.5,37,5,7
13,1020,10,0.5,2,4,10.5,0,3
14,289,10,3.5,6,4.5,30,4.5,6
15,834A,10,2.5,2.75,3,17.375,0.5,5
16,293A,10,3,5,6.5,28,4,6
17,266,10,3.5,4.5,4.5,26.25,0.5,5
18,975E,10,3,5,6,27.5,3.5,6
19,975C,10,2.5,3,3,18,0.5,5
20,1013,10,4,5.5,6.5,32.25,3,6
21,265,10,3.5,5,6,29,3.5,6
22,1021,10,2.5,2.75,3,17.375,0.5,5
23,976C,10,3.5,5,6,29,0,3
24,399B,10,4.5,5.5,5.5,32.75,2,5
25,1015,10,3.5,4.5,5,26.75,0.5,5
26,1016,10,3,4,4.5,23.5,1,5
27,1010,10,8,11,11.5,63,0.5,5
28,976B,10,5.5,7.5,9,44.25,4,6
29,973D,10,5.5,6.5,6.5,39.25,1.5,5
30,973B,10,3.5,5.5,7,31.25,4,6
31,974B,10,3.5,6.5,7.5,34.25,4,6
32,974D,10,4,7,7,36.5,2,5
1,143,11,6.5,9.5,11.5,54.75,7,6
2,541B,11,3,3.5,5,22.75,0,3
3,268,11,1.5,3,6,18,0,3
4,202,11,4.5,4.75,5,30.375,0.5,5
5,974A,11,5,6.5,6.5,37.75,0,4
6,834B,11,5,6,6,36,1,5
7,975D,11,6,9.5,11,52.75,5.5,6
8,267,11,3.75,4.5,5.5,28,2,5
9,978B,11,1,2,2.5,10.5,0,4
10,977B,11,4.5,7.5,8.5,40.75,5,6
11,293E,11,2.5,2.75,3,17.375,0.5,5
12,973C,11,3,5,7,28.5,4.5,6
13,1020,11,3,3.5,4,21.75,0,3
14,289,11,2.5,4.5,6.5,25.25,4,6
15,834A,11,4,6.5,8.5,36.75,6,6
16,293A,11,3,3,3.5,20,0.5,5
17,266,11,3.5,5.5,6,30.25,1.5,5
18,975E,11,3.5,4,4,24.5,1,5
19,975C,11,4.5,4.5,5.5,30.25,1,5
20,1013,11,3,4,5.5,24.5,3,6
21,265,11,3,3.5,4,21.75,1.5,5
22,1021,11,3,5.5,7,29.75,4.5,6
23,976C,11,4.5,5,5.5,31.5,1,5
24,399B,11,2,3,5,18.5,0,3
25,1015,11,3.5,5.5,6,30.25,2.5,5
26,1016,11,3,4,4,23,0,4
27,1010,11,5,8,9.5,44.5,4,6
28,976B,11,4,6.5,8,36.25,3.5,6
29,973D,11,5.5,8,9,45.5,4,6
30,973B,11,4.5,5,5.5,31.5,1,5
31,974B,11,4,5.5,7.5,33.25,4,6
32,974D,11,4.5,4.5,4.5,29.25,0,4
1,143,12,4.5,4.75,5,30.375,0.5,5
2,541B,12,2.5,3.5,4.5,20.75,0,3
3,268,12,0.5,2.5,4,11.75,0,3
4,202,12,2.5,4.5,5,23.75,0.5,5
5,974A,12,0,0,0,0,0,1
6,834B,12,3.5,5.5,7,31.25,2,5
7,975D,12,3,4.5,6,26.25,2,5
8,267,12,2.5,2.5,3,16.75,0.5,5
9,978B,12,2,2.5,2.5,14.75,0,4
10,977B,12,2,4.5,4.5,21.75,0,4
11,293E,12,0.5,2.5,3.5,11.25,1,5
12,973C,12,3,1.5,5.5,18.25,3,6
13,1020,12,0.5,3,4,13,0,3
14,289,12,0.5,1,1.5,5.5,0,2
15,834A,12,1.5,3,4,16,1,5
16,293A,12,2.5,2.75,3,17.375,0.5,5
17,266,12,6.5,7.5,8.5,46.75,2,5
18,975E,12,2.5,2.5,3,16.75,0.5,5
19,975C,12,2.75,3,3.5,19.25,1,5
20,1013,12,3.5,4.5,5.5,27.25,3,6
21,265,12,2.5,2.75,3,17.375,0.5,5
22,1021,12,3,5,7,28.5,4,6
23,976C,12,5,5.75,6,35.375,0.5,5
24,399B,12,4.5,4.75,5,30.375,0.5,5
25,1015,12,4,6,9,36,6,6
26,1016,12,1.5,2,2,11.5,0,2
27,1010,12,5,6.5,8.5,39.75,4,6
28,976B,12,4.5,6.5,8,37.75,3.5,6
29,973D,12,4.5,5,7,33,3.5,6
30,973B,12,5,6,8,38,3,6
31,974B,12,2.5,5,7,27,2,5
32,974D,12,2.5,6,6.5,29,0.5,5
