Block,Cultivar_number,Cultivar_name,24,30,36,42,48,AUMPC
19,8,IPR Tuiuiu,1.381,3.538,6.799,10.391,12.562,182.769
26,8,IPR Tuiuiu,2.034,5.94,7.549,11.246,14.944,223.752
32,8,IPR Tuiuiu,1.814,3.851,5.769,9.186,13.812,181.482
37,8,IPR Tuiuiu,1.183,3.32,4.73,9.231,12.967,160.332
41,8,IPR Tuiuiu,0.597,3.202,4.117,8.008,11.979,136.854
45,8,IPR Tuiuiu,0.586,2.091,3.826,6.297,10.213,112.713
49,8,IPR Tuiuiu,0.882,2.739,3.933,6.686,10.021,123.441
53,8,IPR Tuiuiu,1.075,3.047,4.763,6.982,11.209,138.504
2,9,IPR Andorinha,0.486,2.19,4.143,6.65,9.125,112.563
7,9,IPR Andorinha,1.329,3.028,4.872,6.914,12.305,145.734
13,9,IPR Andorinha,1.103,2.66,4.229,7.055,10.923,132.978
15,9,IPR Andorinha,0.907,2.377,4.354,6.091,8.542,116.163
21,9,IPR Andorinha,0.978,2.707,4.511,7.551,11.295,137.169
25,9,IPR Andorinha,1.126,2.262,4.056,4.12,10.389,110.685
31,9,IPR Andorinha,1.879,4.554,6.302,10.916,16.083,207.066
34,9,IPR Andorinha,1.081,3.155,4.504,6.355,9.615,129.144
38,9,IPR Andorinha,1.852,4.741,6.877,11.289,16.255,213.987
44,9,IPR Andorinha,1.586,3.664,5.887,8.633,11.636,167.802
50,9,IPR Andorinha,0.608,1.842,2.734,4.92,7.835,89.601
53,9,IPR Andorinha,1.898,3.9,5.462,9.038,11.519,173.427
2,10,IPR Bem-te-vi,0.797,2.125,3.737,5.971,10.801,115.356
6,10,IPR Bem-te-vi,0.953,2.259,3.46,6.881,9.988,119.859
14,10,IPR Bem-te-vi,1.293,2.252,3.629,7.45,10.151,129.834
15,10,IPR Bem-te-vi,0.802,2.19,3.83,6.666,10.079,118.383
21,10,IPR Bem-te-vi,0.883,2.363,3.638,7.682,11.208,128.967
26,10,IPR Bem-te-vi,2.209,5.521,7.683,12.252,15.058,231.045
28,10,IPR Bem-te-vi,1.923,3.844,6.96,9.837,13.61,193.521
33,10,IPR Bem-te-vi,1.995,4.894,7.023,10.006,17.201,213.066
40,10,IPR Bem-te-vi,0.329,2.298,2.98,5.158,8.136,91.959
43,10,IPR Bem-te-vi,1.333,3.592,5.206,8.67,14.019,166.86
51,10,IPR Bem-te-vi,0.505,2.113,3.289,5.767,9.736,103.797
53,10,IPR Bem-te-vi,1.819,4.563,5.951,13.56,14.106,214.047
3,11,IPR Tangará,0.898,1.941,2.514,5.334,6.978,93.138
6,11,IPR Tangará,1.278,2.662,3.624,6.237,9.919,124.065
14,11,IPR Tangará,1.08,2.067,2.736,5.284,9.113,104.061
16,11,IPR Tangará,0.484,1.06,1.615,2.366,5.404,53.718
22,11,IPR Tangará,0.675,1.771,2.743,5.433,7.134,91.209
24,11,IPR Tangará,0.879,1.737,2.977,5.588,7.401,97.2
29,11,IPR Tangará,0.445,1.045,2.242,3.113,5.313,61.014
34,11,IPR Tangará,0.858,2.085,2.9,4.284,6.669,88.491
39,11,IPR Tangará,1.041,2.299,3.05,5.031,7.453,100.254
46,11,IPR Tangará,0.792,1.97,3.299,5.236,9.793,104.289
47,11,IPR Tangará,1.222,2.432,3.561,5.875,8.197,114.129
53,11,IPR Tangará,0.922,2.223,3.412,5.962,9.083,110.661
3,12,IPR 139,2.205,5.861,7.104,11.834,16.014,229.911
9,12,IPR 139,1.811,4.15,5.672,9.434,16.836,193.209
13,12,IPR 139,1.683,3.851,6.856,10.463,14.017,194.316
14,12,IPR 139,1.443,4.207,6.387,7.402,16.454,178.983
22,12,IPR 139,1.169,3.364,4.63,7.961,11.196,146.853
27,12,IPR 139,2.024,4.8,7.876,11.448,19.336,233.112
32,12,IPR 139,2.036,3.956,6.385,9.635,15.584,197.148
35,12,IPR 139,1.084,2.616,5,8.267,12.16,148.038
41,12,IPR 139,1.218,3.368,5.898,9.49,13.064,169.998
46,12,IPR 139,1.903,3.851,4.6,8.14,11.515,162.636
48,12,IPR 139,1.219,3.637,4.695,7.655,12.586,151.965
53,12,IPR 139,2.295,5.461,8.235,12.472,17.789,244.8
3,13,IPR Campos Gerais,1.433,3.629,5.735,8.883,13.211,170.61
8,13,IPR Campos Gerais,1.109,2.455,4.436,6.591,10.992,130.503
11,13,IPR Campos Gerais,2.216,4.59,7.306,11.509,16.868,224.274
17,13,IPR Campos Gerais,0.484,1.965,4.205,5.758,9.229,106.515
22,13,IPR Campos Gerais,1.541,3.791,5.896,9.554,15.935,186.366
28,13,IPR Campos Gerais,1.492,3.642,5.605,9.254,13.406,173.604
31,13,IPR Campos Gerais,1.535,3.934,6.094,9.495,14.513,183.702
36,13,IPR Campos Gerais,0.571,2.755,4.484,8.072,11.524,135.003
42,13,IPR Campos Gerais,1.445,3.632,5.575,8.834,11.79,165.291
46,13,IPR Campos Gerais,1.179,2.819,4.31,6.922,10.514,133.533
49,13,IPR Campos Gerais,1.006,3.327,4.528,7.534,12.535,145.029
54,13,IPR Campos Gerais,1.076,3.505,5.167,9.791,11.699,162.015
3,14,IPR Quero-quero,0.789,1.588,2.574,5.232,6.773,88.518
7,14,IPR Quero-quero,0.875,2.016,3.419,5.552,10.991,112.02
12,14,IPR Quero-quero,0.744,2.263,3.496,5.795,9.884,110.136
18,14,IPR Quero-quero,0.883,1.485,3.632,6.335,10.879,114.594
21,14,IPR Quero-quero,0.572,1.059,1.389,3.482,4.721,58.323
26,14,IPR Quero-quero,0.342,1.06,2.387,4.72,6.764,74.424
32,14,IPR Quero-quero,1.499,3.113,5.579,8.617,11.88,161.979
35,14,IPR Quero-quero,0.69,1.438,2.385,4.212,6.68,78.6
41,14,IPR Quero-quero,0.606,1.566,2.763,4.981,7.03,86.04
45,14,IPR Quero-quero,1.7,3.323,4.959,8.74,12.916,166.38
49,14,IPR Quero-quero,0.605,1.695,3.195,6.329,10.223,107.058
54,14,IPR Quero-quero,NA,NA,NA,NA,NA,NA
3,15,IAPAR 81,0.959,1.489,3.075,3.968,7.621,88.44
7,15,IAPAR 81,0,0.479,1.225,2.613,4.013,37.941
10,15,IAPAR 81,1.595,3.245,4.689,8.3,9.769,150.636
17,15,IAPAR 81,1.053,2.671,4.159,7.035,10.924,131.757
20,15,IAPAR 81,2.12,4.242,6.872,12.037,16.42,219.966
24,15,IAPAR 81,1.011,2.117,3.4,5.396,8.212,105.279
31,15,IAPAR 81,1.716,3.275,5.228,10.005,12.953,175.647
33,15,IAPAR 81,1.698,3.776,5.611,9.411,14.265,181.053
39,15,IAPAR 81,0.539,1.515,2.623,4.195,4.927,72.864
43,15,IAPAR 81,0.938,2.518,4.299,6.726,8.306,120.246
50,15,IAPAR 81,2.083,4.562,7.365,10.793,17.767,220.866
54,15,IAPAR 81,1.447,3.783,5.037,8.663,12.554,164.265
4,16,IPR Juriti,1.082,2.35,4.199,6.475,10.292,125.25
9,16,IPR Juriti,1.661,4.081,6.214,8.937,11.482,174.753
13,16,IPR Juriti,1.916,4.711,6.937,9.856,13.128,197.148
15,16,IPR Juriti,0.706,2.079,3.914,4.459,7.473,95.721
19,16,IPR Juriti,1.059,2.306,3.031,4.815,9.024,103.869
26,16,IPR Juriti,0.658,1.68,3.789,5.678,9.432,105.048
28,16,IPR Juriti,0.554,1.618,2.16,4.193,6.918,76.89
34,16,IPR Juriti,1.133,2.97,4.04,4.996,6.191,107.604
38,16,IPR Juriti,1.399,3.603,5.762,11.748,14.923,192.432
45,16,IPR Juriti,NA,NA,NA,NA,NA,NA
51,16,IPR Juriti,0.902,1.913,3.572,5.181,11.048,110.67
54,16,IPR Juriti,0.199,0.965,1.468,3.455,4.792,52.689
4,17,IPR Chopina,0.916,2.66,3.709,6.165,9.617,117.795
9,17,IPR Chopina,0.861,1.787,3.072,4.036,6.954,87.147
14,17,IPR Chopina,0.529,1.213,1.783,3.562,4.73,61.473
19,17,IPR Chopina,1.095,3.201,5.575,8.47,11.944,155.733
22,17,IPR Chopina,0.432,1.3,2.484,4.068,6.759,73.869
28,17,IPR Chopina,0.926,1.873,2.725,4.647,9.173,96.879
30,17,IPR Chopina,1.226,2.589,3.83,6.898,9.883,127.941
36,17,IPR Chopina,0.075,0.684,1.246,1.974,2.964,33.441
40,17,IPR Chopina,1.51,3.344,5.724,9.548,16.041,182.469
42,17,IPR Chopina,1.062,3.304,4.195,7.46,11.399,139.881
50,17,IPR Chopina,1.255,3.435,5.13,8.262,11.09,153.057
54,17,IPR Chopina,1.067,2.932,4.582,7.568,11.711,141.63
4,18,IAC Imperador,1.361,2.798,4.213,7.02,9.461,132.984
6,18,IAC Imperador,1.366,2.931,5.885,9.08,13.353,167.925
11,18,IAC Imperador,2.857,4.475,7.702,10.834,17.002,231.927
17,18,IAC Imperador,0.604,2.09,3.087,6.066,7.582,99.264
23,18,IAC Imperador,0.824,2.48,3.675,6.387,8.862,114.198
24,18,IAC Imperador,0.846,2.015,3.822,6.759,9.913,118.005
29,18,IAC Imperador,1.027,2.773,5.036,8.87,12.187,152.04
36,18,IAC Imperador,0.841,2.415,3.302,5.168,7.735,101.13
41,18,IAC Imperador,1.095,2.783,3.813,8.234,10.859,137.982
46,18,IAC Imperador,1.892,3.862,5.7,9.271,14.285,184.233
50,18,IAC Imperador,0.95,2.543,4.087,7.247,9.951,127.365
55,18,IAC Imperador,1.886,5.064,7.012,13.352,16.669,230.865
4,19,IAC Formoso,1.24,2.23,3.488,6.243,9.939,120.183
5,19,IAC Formoso,0.872,2.463,3.984,6.098,9.285,116.205
11,19,IAC Formoso,2.311,5.578,8.651,13.335,20.681,262.092
18,19,IAC Formoso,1.164,2.593,4.501,6.778,12.547,138.333
23,19,IAC Formoso,0.516,2.205,3.858,6.681,13.212,123.84
26,19,IAC Formoso,1.088,2.786,4.696,6.929,12.581,140.529
29,19,IAC Formoso,1.459,4.661,7.076,12.785,17.866,222.615
35,19,IAC Formoso,0.94,3.402,5.046,8.944,14.354,161.514
39,19,IAC Formoso,0.663,2.019,3.267,6.145,8.182,103.077
44,19,IAC Formoso,1.452,2.91,5.235,7.076,12.174,149.628
48,19,IAC Formoso,1.153,3.141,5.503,9.435,14.051,167.922
55,19,IAC Formoso,0.861,2.714,4.579,7.651,13.106,141.897
4,20,IAC Una,1.522,3.447,5.772,7.815,14.838,169.548
8,20,IAC Una,0.856,2.671,4.865,7.774,13.928,146.484
10,20,IAC Una,1.751,3.639,5.315,8.736,10.176,162.933
16,20,IAC Una,0.725,2.167,4.733,7.157,9.963,125.106
20,20,IAC Una,1.62,4.108,7.357,10.586,15.443,202.935
25,20,IAC Una,1.171,2.666,4.748,7.283,10.336,136.755
32,20,IAC Una,1.202,2.333,4.331,6.466,8.25,121.56
37,20,IAC Una,0.658,1.723,2.497,5.895,8.304,95.472
38,20,IAC Una,1.083,3.37,5.634,7.197,11.063,146.64
44,20,IAC Una,1.254,3.65,4.915,7.746,10.696,148.764
48,20,IAC Una,0.951,2.519,4.073,7.713,12.865,138.69
55,20,IAC Una,2.454,4.251,6.494,9.56,12.968,197.544
5,21,IAC Alvorada,0.285,0.898,2.178,3.15,5.605,58.446
8,21,IAC Alvorada,1.044,2.027,3.056,4.111,8.055,94.989
12,21,IAC Alvorada,0.61,1.698,3.759,5.97,10.29,108.582
15,21,IAC Alvorada,0.806,1.867,2.629,4.185,7.617,87.027
21,21,IAC Alvorada,1.445,2.786,5.003,7.578,12.276,150.705
24,21,IAC Alvorada,1.637,4.145,5.8,8.73,12.038,172.719
31,21,IAC Alvorada,1.073,2.993,4.617,7.647,12.308,144.561
37,21,IAC Alvorada,1.016,2.377,3.663,6.482,9.721,119.535
38,21,IAC Alvorada,0.922,2.409,3.587,6.851,9.247,118.653
42,21,IAC Alvorada,0.945,1.758,3.239,6.354,8.718,108.435
47,21,IAC Alvorada,1.308,3.279,4.729,9.472,12.284,161.352
55,21,IAC Alvorada,1.21,2.473,3.919,7.225,9.161,127.335
5,22,IAC Diplomata,0.228,0.97,1.156,2.222,4.373,42.627
6,22,IAC Diplomata,0.117,0.161,0.588,0.943,2.624,19.779
12,22,IAC Diplomata,0.265,0.873,1.48,3.105,5.157,52.194
18,22,IAC Diplomata,0.695,1.652,2.952,4.853,9.485,95.622
