Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
1,1,4,975E,third,3.081,4.982,9.231,14.156,21.244,280.161
1,4,4,975E,third,1.352,2.263,3.525,5.247,7.424,108.762
1,8,4,975E,third,1.059,3.071,6.13,9.901,16.168,179.001
1,9,4,975E,third,3.983,7.9,11.854,16.027,22.284,341.283
1,12,4,975E,third,0.925,1.805,3.968,5.653,7.661,105.414
1,15,4,975E,third,2.879,6.136,12.2,23.604,27.14,376.245
1,16,4,975E,third,3.996,7.383,12.495,17.906,23.263,356.433
1,20,4,975E,third,2.464,5.512,11.318,12.854,21.018,278.118
1,22,4,975E,third,2.61,5.942,8.966,12.844,18.048,259.806
1,25,4,975E,third,1.717,3.718,7.761,13.128,15.329,219.384
1,2,5,976C,third,1.353,4.139,7.455,9.537,17.871,200.694
1,3,5,976C,third,1.169,2.21,2.666,3.868,7.83,93.489
1,6,5,976C,third,2.497,5.634,8.637,13.376,21.431,267.63
1,9,5,976C,third,0.36,0.967,1.949,4.425,7.953,73.305
1,13,5,976C,third,3.655,5.512,8.44,11.93,15.31,256.047
1,14,5,976C,third,3.55,6.503,7.082,8.788,15.129,232.875
1,16,5,976C,third,0.974,1.996,3.193,4.807,7.071,95.799
1,20,5,976C,third,3.851,7.712,13.154,16.253,24.662,354.465
1,21,5,976C,third,1.945,4.232,6.143,9.096,13.597,186.792
1,24,5,976C,third,1.622,3.361,6.063,9.298,15.977,184.593
1,2,6,977A,third,2.23,3.729,5.614,7.802,12.983,175.269
1,4,6,977A,third,1.768,3.606,6.38,8.246,13.937,177.723
1,7,6,977A,third,2.038,4.494,7.872,11.351,19.042,229.998
1,10,6,977A,third,2.401,5.715,9.896,14.929,21.006,282.273
1,12,6,977A,third,1.967,2.915,3.304,5.114,6.717,117.654
1,15,6,977A,third,2.176,4.803,8.804,12.966,18.071,246.291
1,17,6,977A,third,3.333,6.597,12.423,18.058,25.171,347.976
1,20,6,977A,third,1.651,3.527,7.217,9.47,15.148,191.493
1,22,6,977A,third,3.176,6.582,12.449,14.302,25.726,324.816
1,24,6,977A,third,4.178,6.977,13.088,17.175,26.659,366.087
1,2,7,977E,third,0.372,0.616,1.321,2.179,3.399,40.5
1,3,7,977E,third,4.049,8.006,13.591,17.761,29.165,384.378
1,7,7,977E,third,2.349,5.499,8.294,14.207,18.796,259.623
1,10,7,977E,third,2.249,5,9.058,13.465,21.295,262.758
1,12,7,977E,third,1.819,4.026,7.903,13.89,19.834,241.701
1,13,7,977E,third,1.409,3.039,4.633,8.107,12.533,153.408
1,17,7,977E,third,3.979,7.615,12.507,19.284,27.068,377.325
1,19,7,977E,third,4.059,8.337,15.685,21.491,31.192,427.539
1,23,7,977E,third,2.904,6.013,10.951,12.901,18.837,279.261
1,24,7,977E,third,1.128,2.647,5.178,8.666,11.707,150.987
1,2,8,978A,third,3.72,5.259,11.245,15.206,21.205,309.675
1,4,8,978A,third,3.726,8.16,10.98,16.876,22.901,340.689
1,8,8,978A,third,4.802,7.812,11.58,15.208,21.934,345.432
1,10,8,978A,third,2.16,4.669,8.079,12.536,17.637,237.015
1,13,8,978A,third,3.55,6.908,13.052,16.951,24.053,346.875
1,15,8,978A,third,0.468,0.815,3.313,4.268,6.053,75.555
1,18,8,978A,third,2.557,4.968,8.585,10.73,13.809,225.48
1,20,8,978A,third,1.012,3.169,5.957,9.715,12.213,164.865
1,23,8,978A,third,3.384,6.344,11.735,13.197,18.064,292.608
1,24,8,978A,third,2.172,5.032,8.12,13.681,15.425,239.853
1,3,9,978C,third,3.451,7.18,12.372,16.972,25.641,347.832
