Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
2,16,14,974E,third,0.218,1.039,2.149,3.423,5.718,60.09
2,20,14,974E,third,0.178,0.9,2.438,4.127,6.301,66.363
2,22,14,974E,third,0,0.104,0.601,1.037,1.347,14.493
2,25,14,974E,third,0,0.23,0.813,1.27,2.096,20.166
2,2,15,975D,third,1.716,3.293,6.189,9.768,12.109,177.567
2,3,15,975D,third,1.909,3.28,6.88,9.599,12.536,184.797
2,6,15,975D,third,2.845,5.594,10.284,13.676,16.987,270.96
2,9,15,975D,third,3.009,6.112,10.321,14.966,17.75,286.779
2,13,15,975D,third,3.323,6.057,11.259,14.869,19.636,301.863
2,14,15,975D,third,2.333,4.576,7.526,10.097,14.07,210.399
2,16,15,975D,third,2.36,4.843,10.484,14.371,17.294,265.47
2,20,15,975D,third,3.232,5.679,11.911,16.953,20.118,316.092
2,21,15,975D,third,4.023,7.353,13.59,20.745,25.614,387.315
2,24,15,975D,third,3.513,6.331,13.121,19.225,25.78,362.097
2,2,16,976B,third,2.642,4.825,9.217,11.213,15.975,239.085
2,4,16,976B,third,2.74,5.181,11.393,16.117,21.734,302.448
2,7,16,976B,third,3.273,7.093,12.129,16.031,22.299,327.51
2,10,16,976B,third,2.67,5.738,10.531,16.528,20.294,297.714
2,12,16,976B,third,2.715,5.378,8.789,14.7,23.187,283.488
2,15,16,976B,third,2.967,5.716,10.466,10.905,14.671,251.04
2,17,16,976B,third,4.27,6.567,12.072,17.238,23.454,349.674
2,20,16,976B,third,3.898,7.81,14.938,21.441,23.917,395.355
2,22,16,976B,third,4.052,7.88,13.581,19.488,26.156,384.942
2,24,16,976B,third,3.223,6.226,12.404,17.744,21.584,331.341
2,2,17,976D,third,3.598,5.914,11.127,16.622,23.422,326.214
2,3,17,976D,third,1.975,3.943,9.003,15.586,19.676,259.845
2,7,17,976D,third,2.427,5.763,11.858,16.817,22.891,311.706
2,10,17,976D,third,2.528,5.389,13.038,20.412,29.134,358.356
2,12,17,976D,third,2.718,5.564,11.641,18.583,23.881,327.141
2,13,17,976D,third,3.191,5.136,11.447,17.144,22.38,317.367
2,17,17,976D,third,3.302,6.102,11.427,17.363,23.073,328.101
2,19,17,976D,third,0.961,2.413,6.374,9.602,13.924,166.521
2,23,17,976D,third,1.113,2.053,4.494,6.278,7.687,116.706
2,24,17,976D,third,1.755,4.073,7.964,12.949,16.748,226.485
2,2,18,977B,third,1.917,2.704,5.101,7.98,9.727,152.646
2,4,18,977B,third,3.433,6.201,10.44,12.973,17.258,280.953
2,8,18,977B,third,2.269,4.612,8.611,11.089,14.558,223.581
2,10,18,977B,third,1.405,3.986,7.949,11.75,16.077,211.416
2,13,18,977B,third,1.649,3.518,7.198,10.249,12.764,188.817
2,15,18,977B,third,2.958,5.229,8.286,9.467,13.908,223.986
2,18,18,977B,third,2.081,4.114,7.785,11.574,14.34,215.073
2,20,18,977B,third,4.297,6.364,10.425,14.148,19.117,307.428
2,23,18,977B,third,2.362,4.057,9.352,12.599,16.653,241.437
2,24,18,977B,third,2.964,5.434,11.511,15.582,20.892,302.298
2,3,19,977C,third,3.146,6.212,9.197,13.603,18.742,277.488
2,5,19,977C,third,5.012,7.46,13.985,18.632,22.467,383.043
2,7,19,977C,third,3.947,6.72,11.441,17.075,18.022,324.687
2,9,19,977C,third,1.45,3.217,5.702,8.397,11.409,159.873
2,11,19,977C,third,2.573,4.731,9.753,13.175,15.865,252.144
2,14,19,977C,third,2.28,4.35,7.334,10.262,16.617,215.727
2,17,19,977C,third,3.687,7.271,9.398,14.446,18.058,296.169
2,19,19,977C,third,2.608,5.066,9.323,14.085,17.114,261.306
2,22,19,977C,third,3.07,5.432,10.313,12.65,13.238,256.134
2,23,19,977C,third,2.186,4.421,8.712,12.17,17.047,235.749
2,3,20,974C,third,5.321,8.876,15.912,21.247,24.302,428.931
2,5,20,974C,third,3.822,6.375,10.408,15.276,18.503,305.193
2,6,20,974C,third,3.061,6.683,13.51,17.126,21.334,333.831
2,10,20,974C,third,2.771,5.801,11.947,16.206,21.348,309.333
2,11,20,974C,third,4.236,8.57,15.486,21.194,28.791,421.413
2,14,20,974C,third,3.41,6.783,12.055,16.001,22.913,328.923
2,16,20,974C,third,2.499,5.156,10.77,13.832,16.01,264.063
2,19,20,974C,third,3.734,6.109,12.748,16.181,21.57,330.948
2,21,20,974C,third,1.99,4.255,9.599,12.173,15.169,231.519
2,23,20,974C,third,2.949,5.551,11.225,15.604,21.1,301.815
3,1,21,973B,first,1.105,1.891,4.32,5.95,11.073,122.76
3,2,21,973B,first,1.07,3.012,3.8,7.075,10.491,130.845
3,4,21,973B,first,2.005,4.055,6.631,9.648,14.672,196.095
3,5,21,973B,first,1.601,4.411,6.533,11.579,16.559,208.83
3,6,21,973B,first,0.894,1.913,3.226,5.972,9.637,108.987
3,7,21,973B,first,0.896,1.756,2.991,5.872,9.691,106.227
3,8,21,973B,first,2.007,4.812,7.497,10.947,16.39,218.811
3,10,21,973B,first,1.403,3.218,5.636,8.172,9.513,151.74
3,11,21,973B,first,1.564,3.762,5.78,10.56,16.155,192.537
3,12,21,973B,first,1.606,3.9,6.721,11.861,19.485,217.437
3,1,22,973D,first,1.705,3.533,5.217,8.158,11.016,160.071
3,2,22,973D,first,1.468,3.511,5.61,9.03,14.45,174.276
3,3,22,973D,first,1.36,3.463,4.622,8.715,15.836,168.708
3,5,22,973D,first,2.102,4.45,6.682,10.694,15.458,208.86
3,7,22,973D,first,1.495,3.117,4.296,8.188,15.653,162.99
3,8,22,973D,first,1.902,4.448,6.677,10.509,14.947,203.175
3,9,22,973D,first,2.425,4.48,7.853,10.843,13.46,215.811
3,9,22,973D,first,1.709,3.91,5.214,10.267,14.92,186.741
3,11,22,973D,first,1.775,3.704,7.252,11.183,17.212,211.095
3,12,22,973D,first,0.977,1.979,3.151,5.081,10.912,108.657
3,1,23,974D,first,0,0.44,0.931,1.408,2.461,24.057
3,3,23,974D,first,0,0.329,0.611,0.975,1.866,17.088
3,4,23,974D,first,0,0.426,0.748,1.465,2.341,22.857
3,5,23,974D,first,0.1,0.445,0.898,1.457,2.654,26.262
3,6,23,974D,first,0,0.303,0.754,1.474,3.916,26.934
3,7,23,974D,first,0,0.492,0.727,1.802,3.727,29.307
3,9,23,974D,first,0,0.18,0.605,1.423,2.453,20.607
3,10,23,974D,first,0.17,0.55,1.153,2.263,5.678,43.38
3,12,23,974D,first,0.321,0.722,1.374,2.565,5.682,49.827
3,13,23,974D,first,0.055,0.684,1.524,3.274,6.379,52.854
3,1,24,976A,first,1.348,2.66,5.304,6.913,10.115,139.827
3,3,24,976A,first,0.402,1.414,2.949,5.01,9.693,91.347
3,4,24,976A,first,1.507,2.674,4.518,6.894,10.964,140.013
3,5,24,976A,first,1.14,2.134,3.372,5.693,9.993,114.273
3,6,24,976A,first,2.1,4.538,8.168,11.319,17.287,227.511
3,7,24,976A,first,1.849,4.121,7.611,12.694,19.773,233.61
3,8,24,976A,first,1.748,3.306,4.742,8.442,15.503,171.669
3,10,24,976A,first,1.538,2.92,4.852,7.733,10.781,148.443
3,11,24,976A,first,1.609,2.772,4.974,6.256,9.977,138.078
3,12,24,976A,first,1.124,2.351,3.916,6.065,12.081,127.095
3,2,25,976E,first,0.883,2.22,3.376,6.226,9.139,111.594
3,2,25,976E,first,1.362,3.001,5.097,8.096,13.863,159.183
3,3,25,976E,first,1.894,5.212,7.241,12.24,20.787,238.929
3,4,25,976E,first,1.921,4.131,6.467,9.624,16.157,198.618
3,6,25,976E,first,2.318,4.416,7.019,11.596,17.12,224.316
3,8,25,976E,first,2.01,4.435,7.422,11.283,17.178,220.524
3,9,25,976E,first,2.175,4.925,6.697,11.863,14.685,217.59
3,10,25,976E,first,2.014,5.022,9.487,13.558,17.09,249.882
3,11,25,976E,first,1.173,2.312,5.4,8.637,13.602,156.495
3,13,25,976E,first,1.614,3.168,6.919,9.921,15.798,191.652
3,1,21,973B,second,1.46,3.465,5.803,9.095,13.687,173.139
3,2,21,973B,second,1.662,3.657,6.339,9.138,14.374,182.856
3,4,21,973B,second,2.001,5.16,8.253,11.217,15.51,224.325
3,5,21,973B,second,2.23,4.984,7.208,11.05,14.944,217.734
3,6,21,973B,second,1.729,3.624,5.78,9.75,14.167,183.36
3,7,21,973B,second,1.991,4.472,8.099,13.128,20.367,245.16
3,8,21,973B,second,1.363,3.203,5.629,7.992,14.521,164.952
3,10,21,973B,second,1.417,2.893,4.279,8.081,11.635,147.678
3,11,21,973B,second,1.332,3.592,5.704,8.792,14.897,173.199
3,12,21,973B,second,1.424,2.861,5.577,8.592,12.121,159.903
3,1,22,973D,second,1.514,3.225,5.333,9.332,13.616,170.898
3,2,22,973D,second,1.791,3.854,6.509,9.435,12.785,184.008
3,3,22,973D,second,1.293,3.013,5.306,9.036,14.181,166.068
3,5,22,973D,second,1.988,4.002,6.981,11.177,15.611,209.613
3,7,22,973D,second,2.567,5.033,9.39,14.471,21.816,277.317
3,8,22,973D,second,1.21,2.284,3.33,5.579,9.232,113.004
3,9,22,973D,second,1.905,3.201,6.6,7.615,10.639,164.988
3,9,22,973D,second,2.556,4.93,8.288,15.875,21.284,276.75
3,11,22,973D,second,2.518,5.955,8.42,14.755,21.722,277.716
3,12,22,973D,second,2.186,5.783,8.748,12.574,20.025,255.495
3,1,23,974D,second,0.393,1.243,2.657,5.027,7.992,83.433
3,3,23,974D,second,1.016,3.161,6.06,10.066,14.045,173.097
3,4,23,974D,second,1.097,2.883,4.426,7.383,14.391,147.78
3,5,23,974D,second,0.712,1.736,3.156,5.93,9.826,105.09
3,6,23,974D,second,0.662,2.171,4.308,7.712,11.018,128.13
3,7,23,974D,second,0.563,1.441,2.572,4.181,6.687,77.67
3,9,23,974D,second,0.493,1.62,2.883,5.374,9.11,93.987
3,10,23,974D,second,0.699,2.351,4.245,7.004,11.311,126.018
3,12,23,974D,second,0.6,2.39,4.527,7.957,11.299,132.141
3,13,23,974D,second,0.555,1.654,3.649,5.936,9.051,102.912
3,1,24,976A,second,1.385,3.467,5.985,8.869,12.672,168.717
3,3,24,976A,second,1.736,4.569,6.896,11.457,16.373,212.691
3,4,24,976A,second,2.25,4.104,7.551,10.777,14.731,212.535
3,5,24,976A,second,2.023,4.672,6.677,11.439,15.12,212.433
3,6,24,976A,second,2.926,5.905,10.779,13.989,23.424,298.2
3,7,24,976A,second,2.757,6.044,8.106,12.378,18.262,255.309
3,8,24,976A,second,1.898,4.998,8.214,12.434,20.29,243.216
3,10,24,976A,second,1.654,3.551,5.871,10.815,14.695,190.317
3,11,24,976A,second,1.942,4.11,4.911,8.678,15.213,180.963
3,12,24,976A,second,1.356,3.821,5.937,9.205,15.875,181.743
3,2,25,976E,second,1.791,0.587,1.513,2.472,4.469,67.704
3,2,25,976E,second,0.526,1.479,3.172,5.618,9.434,97.806
3,3,25,976E,second,0.534,1.689,2.728,5.538,8.702,93.846
3,4,25,976E,second,0.659,1.793,3.7,5.597,8.721,102.588
3,6,25,976E,second,1.535,2.818,5.627,9.509,15.878,178.383
3,8,25,976E,second,1.913,4.099,7.663,12.703,15.492,221.961
3,9,25,976E,second,1.311,3.182,5.866,9.337,14.593,173.754
3,10,25,976E,second,1.707,4.049,7.366,12.515,17.173,220.704
3,11,25,976E,second,1.604,3.58,7.203,11.449,15.293,203.331
3,13,25,976E,second,1.142,2.569,4.396,7.98,13.763,148.089
3,1,21,973B,third,NA,NA,NA,NA,NA,NA
3,2,21,973B,third,NA,NA,NA,NA,NA,NA
3,4,21,973B,third,NA,NA,NA,NA,NA,NA
3,5,21,973B,third,NA,NA,NA,NA,NA,NA
3,6,21,973B,third,NA,NA,NA,NA,NA,NA
3,7,21,973B,third,NA,NA,NA,NA,NA,NA
3,8,21,973B,third,NA,NA,NA,NA,NA,NA
3,10,21,973B,third,NA,NA,NA,NA,NA,NA
3,11,21,973B,third,NA,NA,NA,NA,NA,NA
3,12,21,973B,third,NA,NA,NA,NA,NA,NA
3,1,22,973D,third,0.471,1.072,2.319,4.221,6.229,71.424
3,2,22,973D,third,0.606,1.582,2.708,4.579,7.47,84.714
3,3,22,973D,third,0.51,1.017,2.383,4.169,6.801,73.467
3,5,22,973D,third,0.631,1.706,3.785,6.685,9.71,111.651
3,7,22,973D,third,1.579,3.825,7.384,11.143,16.604,207.609
3,8,22,973D,third,0.658,1.055,2.229,4.739,7.902,81.714
3,9,22,973D,third,1.155,2.234,4.005,6.742,10.473,126.63
3,9,22,973D,third,0.004,0.644,1.911,4.552,9.183,70.251
3,11,22,973D,third,0.003,0.836,1.988,4.983,9.326,74.865
3,12,22,973D,third,1.163,3.096,7.08,10.78,16.116,191.529
3,1,23,974D,third,0.002,0.004,0.002,0.084,0.646,2.508
3,3,23,974D,third,0.002,0.005,0.001,0.516,1.276,6.99
3,4,23,974D,third,0.003,0.003,0.003,0.287,0.853,4.362
3,5,23,974D,third,0.004,0.003,0.211,0.44,0.685,6.039
3,6,23,974D,third,0.004,0.228,0.411,1.088,2.181,16.965
3,7,23,974D,third,0.272,0.387,0.59,0.926,1.331,19.491
3,9,23,974D,third,0.004,0.003,0.004,0.424,0.698,4.74
3,10,23,974D,third,0.005,0.139,0.349,0.889,1.209,11.964
3,12,23,974D,third,0.003,0.329,0.442,0.796,1.258,13.221
3,13,23,974D,third,0.002,0.003,0.004,0.503,1.193,6.669
3,1,24,976A,third,0.002,0.004,0.002,0.003,0.197,0.675
3,3,24,976A,third,0.002,0.005,0.001,0.003,0.005,0.099
3,4,24,976A,third,0.003,0.003,0.003,0.002,0.341,1.116
3,5,24,976A,third,0.096,0.167,0.144,0.27,0.494,6.408
3,6,24,976A,third,0.003,0.003,0.004,0.002,0.004,0.111
3,7,24,976A,third,0.003,0.004,0.002,0.004,0.002,0.111
3,8,24,976A,third,0.003,0.002,0.004,0.003,0.003,0.108
3,10,24,976A,third,0.005,0.002,0.002,0.003,0.003,0.126
3,11,24,976A,third,0.293,0.36,0.593,0.755,1.025,17.718
3,12,24,976A,third,0.003,0.005,0.005,0.002,0.003,0.126
3,2,25,976E,third,1.663,3.581,5.362,9.527,13.458,176.139
3,2,25,976E,third,2.26,4.92,9.076,11.948,18.132,243.96
3,3,25,976E,third,2.1,4.214,7.647,11.184,16.65,219.72
3,4,25,976E,third,0.995,1.92,3.683,5.974,8.691,110.46
3,6,25,976E,third,1.728,4.675,7.829,11.396,18.578,225.054
3,8,25,976E,third,1.734,4.553,8.712,14.135,23.302,260.316
3,9,25,976E,third,1.076,3.072,6.165,9.897,14.407,174.165
3,10,25,976E,third,0.51,1.849,4.824,7.684,14.607,137.613
3,11,25,976E,third,1.84,4.654,7.177,10.977,17.382,216.594
3,13,25,976E,third,1.682,3.798,7.311,11.069,17.868,211.902
4,1,26,972B,first,0.747,1.651,2.816,5.842,8.404,98.271
4,2,26,972B,first,1.194,2.271,4.093,6.228,10.885,126.117
4,3,26,972B,first,1.031,1.931,5.091,6.671,9.727,126.804
4,4,26,972B,first,1.33,2.721,5.199,8.174,13.454,156.876
4,5,26,972B,first,1,1.441,4.239,6.01,9.778,114.474
4,6,26,972B,first,0.533,1.151,2.274,3.863,6.338,70.737
4,7,26,972B,first,1.392,1.506,2.359,5.071,7.895,98.181
4,8,26,972B,first,0.833,1.52,2.588,5,8.751,93.396
4,9,26,972B,first,1.085,2.047,5.31,10.262,14.956,166.857
4,10,26,972B,first,0.741,1.537,3.11,6.087,10.478,106.953
4,1,27,972D,first,0,0.561,0.808,1.326,1.881,21.813
4,2,27,972D,first,0,0.427,0.607,0.976,1.136,15.468
4,3,27,972D,first,0,0.004,0.001,1.111,0.973,9.615
4,4,27,972D,first,0,0.005,0.502,1.014,1.7,14.226
4,5,27,972D,first,0,0.002,0.006,0.534,0.861,5.835
4,6,27,972D,first,0.263,0.465,0.925,1.235,2.019,25.752
4,7,27,972D,first,0,0.002,0.39,0.399,0.478,6.18
4,8,27,972D,first,0,0.002,0.698,1.35,2.054,18.462
4,9,27,972D,first,0,0.576,1.012,1.754,2.357,27.123
4,10,27,972D,first,0,0.002,0.469,0.792,1.168,11.082
4,1,28,973C,first,1.134,1.417,2.702,4.048,6.156,84.48
4,2,28,973C,first,0.572,1.297,2.659,5.647,8.609,92.025
4,3,28,973C,first,0.641,1.763,3.069,5.022,7.947,92.58
4,4,28,973C,first,0.569,1.147,1.658,3.093,4.434,57.225
4,5,28,973C,first,0.228,0.888,1.658,2.776,4.631,49.245
4,6,28,973C,first,0.423,1.249,2.654,4.997,8.67,85.755
4,7,28,973C,first,0.252,0.664,1.663,3.049,4.871,50.649
4,8,28,973C,first,0.566,1.235,2.905,4.687,9.239,89.169
4,9,28,973C,first,0.458,1.052,1.606,2.703,3.995,51.021
4,10,28,973C,first,0.584,1.139,2.344,4.487,6.666,76.578
4,1,29,974C,first,0.575,1.085,3.021,3.993,6.831,77.712
4,2,29,974C,first,0.747,1.204,2.681,4.675,6.954,83.427
4,3,29,974C,first,0,0.861,1.866,3.467,3.818,48.618
4,4,29,974C,first,0.584,1.723,3.244,5.194,7.678,92.76
4,5,29,974C,first,0,0.796,1.489,2.772,4.878,44.976
4,6,29,974C,first,0.295,0.724,2.093,3.481,5.508,58.737
4,7,29,974C,first,0.643,0.81,1.588,2.628,3.725,50.976
4,8,29,974C,first,0.63,1.512,3.026,5.3,8.767,94.779
4,9,29,974C,first,0.8,1.449,2.627,4.059,7.178,82.344
4,10,29,974C,first,1.435,2.175,3.174,5.085,7.984,108.081
4,1,26,972B,second,1.578,2.837,4.422,7.819,9.022,141.204
4,2,26,972B,second,1.155,2.4,4.483,8.879,9.986,141.855
4,3,26,972B,second,1.19,2.209,4.446,7.935,11.126,138.768
4,4,26,972B,second,1.546,3.242,5.317,8.849,10.881,160.281
4,5,26,972B,second,0.495,1.183,4.838,8.471,10.464,125.769
4,6,26,972B,second,1.068,2.006,5.078,9.644,12.752,154.644
4,7,26,972B,second,1.071,2.116,4.146,6.878,8.63,120.795
4,8,26,972B,second,0.971,2.412,6.545,10.454,13.578,171.765
4,9,26,972B,second,1.594,3.666,6.384,10.463,13.265,186.783
4,10,26,972B,second,0.717,1.957,5.095,8.492,10.615,135.864
4,1,27,972D,second,0.199,0.866,1.247,2.03,2.296,34.731
4,2,27,972D,second,0.624,1.161,1.843,2.235,3.07,50.004
4,3,27,972D,second,0.779,1.32,2.117,2.814,3.758,60.465
4,4,27,972D,second,0.545,0.918,1.715,2.59,2.643,47.442
4,5,27,972D,second,0.852,1.536,2.315,2.994,3.704,64.962
4,6,27,972D,second,0.512,0.807,1.452,2.336,3.064,44.442
4,7,27,972D,second,0.352,0.579,1.273,1.999,2.497,35.877
4,8,27,972D,second,0.4,0.631,1.33,1.99,2.491,37.179
4,9,27,972D,second,0.002,0.576,1.055,1.622,2.167,26.049
4,10,27,972D,second,0.004,0.816,1.747,2.415,3.558,40.602
4,1,28,973C,second,0.826,1.764,3.435,6.712,8.77,110.166
4,2,28,973C,second,1.127,2.082,4.25,8.245,10.443,135.696
4,3,28,973C,second,2.265,2.575,4.991,9.228,12.148,171.183
4,4,28,973C,second,1.28,2.846,6.467,10.694,13.722,180.408
4,5,28,973C,second,0.968,3.457,7.365,10.997,14.425,188.709
4,6,28,973C,second,0.552,1.595,3.257,7.278,8.673,107.079
4,7,28,973C,second,1.089,2.222,5.3,9.148,10.977,149.286
4,8,28,973C,second,0.859,1.83,3.836,7.002,9.566,117.591
4,9,28,973C,second,0.508,1.19,2.149,4.646,4.976,70.458
4,10,28,973C,second,0.627,1.288,2.947,3.822,5.795,75.132
4,1,29,974C,second,1.949,3.65,6.689,12.087,15.42,210.051
4,2,29,974C,second,0.892,2.089,3.999,6.67,10.977,122.859
4,3,29,974C,second,1.01,1.905,4.762,9.319,12.698,149.16
4,4,29,974C,second,1.301,2.472,5.989,10.453,12.788,171.363
4,5,29,974C,second,1.274,2.632,4.937,9.593,12.93,160.872
4,6,29,974C,second,0.669,1.63,4.207,9.007,12.283,135.948
4,7,29,974C,second,0.777,2.394,5.824,11.569,13.46,170.757
4,8,29,974C,second,1.319,3.306,5.956,11.866,16.888,197.217
4,9,29,974C,second,1.162,2.199,4.087,6.671,8.959,122.049
4,10,29,974C,second,1.094,2.083,4.729,8.463,10.586,139.818
4,1,26,972B,third,3.178,6.427,10.057,14.225,22.056,298.092
4,2,26,972B,third,2.651,5.671,9.624,14.427,17.327,270.078
4,3,26,972B,third,2.105,4.913,8.52,11.833,16.987,234.132
4,4,26,972B,third,1.868,5.312,8.822,13.351,19.585,251.685
4,5,26,972B,third,2.682,5.056,8.651,12.454,17.17,248.706
4,6,26,972B,third,2.669,5.461,9.238,13.236,19.402,265.851
4,7,26,972B,third,1.685,3.633,7.57,10.929,16.347,207.108
4,8,26,972B,third,2.46,5.653,9.977,15.442,21.808,288.756
4,9,26,972B,third,1.444,4.075,7.552,11.049,16.797,208.107
4,10,26,972B,third,2.081,4.198,6.919,10.758,13.053,201.624
4,1,27,972D,third,0.889,1.556,2.489,3.446,4.135,70.686
4,2,27,972D,third,0.758,1.438,1.955,2.793,3.38,58.626
4,3,27,972D,third,1,2.05,3.487,3.976,5.997,90.069
4,4,27,972D,third,0.757,1.772,2.658,3.628,4.256,72.471
4,5,27,972D,third,0.245,0.435,0.845,1.151,1.508,22.785
4,6,27,972D,third,0.536,1.123,2.144,2.702,3.652,54.81
4,7,27,972D,third,0.705,1.221,2.301,3.268,5.736,68.523
4,8,27,972D,third,0.597,1.302,2.272,2.984,4.59,62.073
4,9,27,972D,third,0.722,0.796,1.038,1.54,2.073,37.293
4,10,27,972D,third,1.128,2.023,3.622,5.308,6.27,101.448
4,1,28,973C,third,1.327,3.871,6.717,10.302,13.511,185.778
4,2,28,973C,third,1.767,4.076,7.359,11.389,18.228,218.133
4,3,28,973C,third,1.332,3.51,6.646,9.82,14.427,183.117
4,4,28,973C,third,2.057,5.081,8.255,10.27,17.312,224.427
4,5,28,973C,third,1.077,3.269,5.866,8.861,14.223,166.8
4,6,28,973C,third,0.929,2.577,4.658,12.054,11.295,163.554
4,7,28,973C,third,2.207,4.567,8.315,12.683,18.084,240.747
4,8,28,973C,third,2.37,5.44,9.643,13.002,20.589,265.827
4,9,28,973C,third,1.013,2.849,6.37,8.812,16.208,172.005
4,10,28,973C,third,1.189,3.004,5.701,8.26,12.929,158.412
4,1,29,974C,third,2.422,4.816,7.928,12.11,20.031,245.547
4,2,29,974C,third,2.426,6.079,9.816,12.752,17.451,260.625
4,3,29,974C,third,1.226,2.428,4.535,7.213,10.932,136.242
4,4,29,974C,third,2.247,5.256,9.701,14.211,20.223,269.382
4,5,29,974C,third,1.668,3.958,6.266,9.284,13.835,183.573
4,6,29,974C,third,1.28,3.122,6.546,9.762,15.65,182.73
4,7,29,974C,third,1.713,3.699,7.222,12.849,17.917,222.066
4,8,29,974C,third,1.775,4.199,8.561,13.286,19.936,242.709
4,9,29,974C,third,2.187,4.533,7.601,10.677,17.167,221.172
4,10,29,974C,third,2.243,4.715,8.418,12.691,18.862,245.175
