Number,Section,Isolate number,Isolate,Collection,Area
460,2,16,1,first,12.345
461,2,17,1*,first,5.842
462,2,17,1*,first,5.847
463,2,17,1*,first,2.58
464,2,17,1*,first,7.631
465,2,17,1*,first,6.343
466,2,17,1*,first,5.763
467,2,17,1*,first,4.322
468,2,17,1*,first,6.45
469,2,17,1*,first,6.078
470,2,17,1*,first,4.632
471,2,18,3,first,14.99
472,2,18,3,first,9.57
473,2,18,3,first,13.309
474,2,18,3,first,12.038
475,2,18,3,first,12.427
476,2,18,3,first,12.621
477,2,18,3,first,15.172
478,2,18,3,first,20.303
479,2,18,3,first,11.486
480,2,18,3,first,12.272
481,2,19,1023,first,7.422
482,2,19,1023,first,8.925
483,2,19,1023,first,6.036
484,2,19,1023,first,16.241
485,2,19,1023,first,9.403
486,2,19,1023,first,5.266
487,2,19,1023,first,8.136
488,2,19,1023,first,12.583
489,2,19,1023,first,6.374
490,2,19,1023,first,14.312
491,2,20,5,first,12.508
492,2,20,5,first,14.159
493,2,20,5,first,8.827
494,2,20,5,first,11.059
495,2,20,5,first,15.132
496,2,20,5,first,8.348
497,2,20,5,first,6.764
498,2,20,5,first,14.859
499,2,20,5,first,5.339
500,2,20,5,first,11.909
501,2,21,18,first,11.3
502,2,21,18,first,5.153
503,2,21,18,first,10.658
504,2,21,18,first,8.365
505,2,21,18,first,6.597
506,2,21,18,first,12.039
507,2,21,18,first,8.724
508,2,21,18,first,8.336
509,2,21,18,first,6.993
510,2,21,18,first,2.607
511,2,22,7,first,10.267
512,2,22,7,first,10.059
513,2,22,7,first,9.593
514,2,22,7,first,19.236
515,2,22,7,first,12.526
516,2,22,7,first,12.149
517,2,22,7,first,14.982
518,2,22,7,first,14.418
519,2,22,7,first,13.635
520,2,22,7,first,11.009
521,2,23,17,first,11.189
522,2,23,17,first,9.059
523,2,23,17,first,10.941
524,2,23,17,first,12.481
525,2,23,17,first,10.94
526,2,23,17,first,10.169
527,2,23,17,first,9.439
528,2,23,17,first,9.376
529,2,23,17,first,9.582
530,2,23,17,first,12.494
531,2,24,9,first,13.245
532,2,24,9,first,6.322
533,2,24,9,first,3.258
534,2,24,9,first,5.132
535,2,24,9,first,9.767
536,2,24,9,first,11.768
537,2,24,9,first,12.663
538,2,24,9,first,5.629
539,2,24,9,first,9.199
540,2,24,9,first,9.09
541,2,25,22,first,6.021
542,2,25,22,first,15.944
543,2,25,22,first,4.489
544,2,25,22,first,12.519
545,2,25,22,first,15.278
546,2,25,22,first,6.71
547,2,25,22,first,6.545
548,2,25,22,first,5.68
549,2,25,22,first,10.483
550,2,25,22,first,6.732
551,2,26,32,first,4.039
552,2,26,32,first,6.299
553,2,26,32,first,8.162
554,2,26,32,first,11.711
555,2,26,32,first,12.059
556,2,26,32,first,7.413
557,2,26,32,first,5.009
558,2,26,32,first,11.104
559,2,26,32,first,8.14
560,2,26,32,first,11.128
561,2,27,12,first,9.981
562,2,27,12,first,15.142
563,2,27,12,first,10.618
564,2,27,12,first,11.752
565,2,27,12,first,17.399
566,2,27,12,first,11.606
567,2,27,12,first,6.465
568,2,27,12,first,11.069
569,2,27,12,first,10.037
570,2,27,12,first,11.561
571,2,28,139,first,10.074
572,2,28,139,first,8.481
573,2,28,139,first,3.199
574,2,28,139,first,15.684
575,2,28,139,first,5.435
576,2,28,139,first,6.42
577,2,28,139,first,11.107
578,2,28,139,first,7.898
579,2,28,139,first,8.293
580,2,28,139,first,8.613
581,2,29,14,first,2.604
582,2,29,14,first,8.049
583,2,29,14,first,6.059
584,2,29,14,first,5.047
585,2,29,14,first,7.674
586,2,29,14,first,4.06
587,2,29,14,first,10.163
588,2,29,14,first,5.209
589,2,29,14,first,5.248
590,2,29,14,first,3.666
591,2,30,25,first,4.352
592,2,30,25,first,7.726
593,2,30,25,first,6.851
594,2,30,25,first,9.932
595,2,30,25,first,4.879
596,2,30,25,first,3.137
597,2,30,25,first,2.747
598,2,30,25,first,6.301
599,2,30,25,first,15.5
600,2,30,25,first,5.318
601,2,16,1,second,4.611
602,2,16,1,second,7.688
603,2,16,1,second,6.981
604,2,16,1,second,4.445
605,2,16,1,second,3.372
606,2,16,1,second,5.79
607,2,16,1,second,7.707
608,2,16,1,second,8.698
609,2,16,1,second,5.029
610,2,16,1,second,6.588
611,2,17,1*,second,7.076
612,2,17,1*,second,3.466
613,2,17,1*,second,7.113
614,2,17,1*,second,6.713
615,2,17,1*,second,3.676
616,2,17,1*,second,5.79
617,2,17,1*,second,5.302
618,2,17,1*,second,2.194
619,2,17,1*,second,4.69
620,2,17,1*,second,8.399
621,2,18,3,second,10.568
622,2,18,3,second,9.184
623,2,18,3,second,9.759
624,2,18,3,second,11.017
625,2,18,3,second,11.926
626,2,18,3,second,7.834
627,2,18,3,second,9.053
628,2,18,3,second,10.8
629,2,18,3,second,7.341
630,2,18,3,second,8.392
631,2,19,1023,second,5.973
632,2,19,1023,second,9.295
633,2,19,1023,second,19.191
634,2,19,1023,second,15.641
635,2,19,1023,second,19.892
636,2,19,1023,second,6.755
