Number,Section,Isolate number,Isolate,Collection,Area
1198,3,45,26,second,9.615
1199,3,45,26,second,13.091
1200,3,45,26,second,11.719
1201,3,31,1019,third,3.888
1202,3,31,1019,third,10.494
1203,3,31,1019,third,1.546
1204,3,31,1019,third,20.79
1205,3,31,1019,third,6.25
1206,3,31,1019,third,7.144
1207,3,31,1019,third,10.476
1208,3,31,1019,third,5.322
1209,3,31,1019,third,7.057
1210,3,31,1019,third,8.595
1211,3,32,1018,third,6.82
1212,3,32,1018,third,12.569
1213,3,32,1018,third,5.253
1214,3,32,1018,third,12.066
1215,3,32,1018,third,6.794
1216,3,32,1018,third,10.456
1217,3,32,1018,third,11.722
1218,3,32,1018,third,6.715
1219,3,32,1018,third,5.814
1220,3,32,1018,third,9.464
1221,3,33,1022,third,1.482
1222,3,33,1022,third,16.171
1223,3,33,1022,third,3.719
1224,3,33,1022,third,6.21
1225,3,33,1022,third,8.81
1226,3,33,1022,third,3.14
1227,3,33,1022,third,8.154
1228,3,33,1022,third,5.027
1229,3,33,1022,third,7.106
1230,3,33,1022,third,7.888
1231,3,34,1013,third,7.087
1232,3,34,1013,third,7.824
1233,3,34,1013,third,10.542
1234,3,34,1013,third,7.746
1235,3,34,1013,third,16.574
1236,3,34,1013,third,12.941
1237,3,34,1013,third,8.891
1238,3,34,1013,third,5.829
1239,3,34,1013,third,12.898
1240,3,34,1013,third,15.625
1241,3,35,1017,third,4.14
1242,3,35,1017,third,5.874
1243,3,35,1017,third,2.614
1244,3,35,1017,third,17.038
1245,3,35,1017,third,10.777
1246,3,35,1017,third,7.559
1247,3,35,1017,third,5.147
1248,3,35,1017,third,12.218
1249,3,35,1017,third,9.774
1250,3,35,1017,third,8.581
1251,3,36,6,third,4.101
1252,3,36,6,third,6.38
1253,3,36,6,third,9.695
